;chvatal;icpl;incling;random
2007-05-20_17-12-43/ to 2007-06-01_14-40-03/;1;1;0.965814579;0.623955276
2007-06-01_14-40-03/ to 2007-07-01_14-53-06/;0.752925385;0.766232523;0.961670161;0.621823481
2007-07-01_14-53-06/ to 2007-08-01_23-30-54/;0.800150109;0.850355211;0.960872766;0.622678577
2007-08-01_23-30-54/ to 2007-09-02_14-51-54/;0.830587323;0.818763326;0.959890175;0.624868853
2007-09-02_14-51-54/ to 2007-10-01_09-59-01/;0.856100912;0.847765646;0.964143684;0.627735207
2007-10-01_09-59-01/ to 2007-11-02_23-31-10/;0.851487979;0.85224647;0.965604921;0.626196172
2007-11-02_23-31-10/ to 2007-12-02_01-43-18/;0.832030003;0.826513998;0.967669702;0.62582681
2007-12-02_01-43-18/ to 2008-01-02_19-55-04/;0.858710562;0.859067215;0.971081352;0.628269301
2008-01-02_19-55-04/ to 2008-02-01_01-41-57/;0.842893847;0.834932295;0.970539651;0.626416538
2008-02-01_01-41-57/ to 2008-03-01_09-35-39/;0.77820841;0.782660667;0.973065721;0.618868714
2008-03-01_09-35-39/ to 2008-04-01_14-47-57/;0.797910076;0.797341092;0.966507624;0.616461288
2008-04-01_14-47-57/ to 2008-05-02_09-19-29/;0.86229671;0.860955928;0.973708977;0.619725238
2008-05-02_09-19-29/ to 2008-06-01_10-10-22/;0.819604531;0.823206479;0.972370323;0.618613907
2008-06-01_10-10-22/ to 2008-07-01_01-57-36/;0.810539711;0.81369074;0.97664651;0.621348922
2008-07-01_01-57-36/ to 2008-08-01_02-15-05/;0.839657041;0.836378266;0.97399465;0.624031544
2008-08-01_02-15-05/ to 2008-09-01_15-23-04/;0.822181087;0.826720363;0.971084762;0.623429113
2008-09-01_15-23-04/ to 2008-10-02_13-30-31/;0.821445934;0.816764934;0.972503455;0.622574055
2008-10-02_13-30-31/ to 2008-11-01_00-10-51/;0.835125534;0.826988623;0.976734071;0.623206722
2008-11-01_00-10-51/ to 2008-12-01_12-36-41/;0.806666667;0.79565815;0.976451838;0.619673326
2008-12-01_12-36-41/ to 2009-01-01_17-52-09/;1;1;1;0.622819214
2009-01-01_17-52-09/ to 2009-02-01_00-40-45/;0.891940216;0.850174216;0.974353998;0.623143839
2009-02-01_00-40-45/ to 2009-03-01_04-50-18/;0.829843478;0.824230317;0.974552934;0.620992973
2009-03-01_04-50-18/ to 2009-04-01_11-24-04/;0.844189815;0.865989803;0.975932477;0.622418763
2009-04-01_11-24-04/ to 2009-05-01_03-00-04/;0.834697865;0.850054353;0.975466286;0.620753634
2009-05-01_03-00-04/ to 2009-06-01_11-26-30/;0.814623902;0.834426742;0.975735843;0.620473416
2009-06-01_11-26-30/ to 2009-07-02_12-04-50/;0.830361006;0.823678028;0.97488718;0.619499751
2009-07-02_12-04-50/ to 2009-08-01_06-53-03/;0.82250671;0.811291552;0.974937192;0.621726262
2009-08-01_06-53-03/ to 2009-09-02_11-49-25/;0.846045062;0.871797902;0.969785651;0.62135815
2009-09-02_11-49-25/ to 2009-10-02_01-10-32/;0.842300422;0.899447433;0.976251228;0.6222233
2009-10-02_01-10-32/ to 2009-11-01_04-01-30/;0.939376402;0.877632517;0.977437287;0.622540105
2009-11-01_04-01-30/ to 2009-12-01_02-32-01/;0.809206599;0.811703831;0.97732734;0.623110529
2009-12-01_02-32-01/ to 2010-01-01_16-45-43/;0.830939812;0.842630478;0.979346255;0.622201482
2010-01-01_16-45-43/ to 2010-02-01_04-55-30/;0.797450953;0.806109325;0.978908841;0.620874838
2010-02-01_04-55-30/ to 2010-03-02_15-02-45/;0.873410724;0.843869335;0.978210094;0.620836189
2010-03-02_15-02-45/ to 2010-04-01_15-09-44/;0.764510631;0.810819179;0.978408816;0.619840874
2010-04-01_15-09-44/ to 2010-05-02_14-17-07/;0.859795608;0.832506148;0.977357887;0.620601028
