;chvatal;icpl;incling;random
2007-05-20_17-12-43/ to 2007-06-01_14-40-03/;1;1;0.899059084;0.579631936
2007-06-01_14-40-03/ to 2007-07-01_14-53-06/;0.630333543;0.595617305;0.905605024;0.590420845
2007-07-01_14-53-06/ to 2007-08-01_23-30-54/;0.717480482;0.785705112;0.813030062;0.537361507
2007-08-01_23-30-54/ to 2007-09-02_14-51-54/;0.61135879;0.630782962;0.690612495;0.451156643
2007-09-02_14-51-54/ to 2007-10-01_09-59-01/;0.702940778;0.717244633;0.929126813;0.604882517
2007-10-01_09-59-01/ to 2007-11-02_23-31-10/;0.766365915;0.815712452;0.904406442;0.583589573
2007-11-02_23-31-10/ to 2007-12-02_01-43-18/;0.681090694;0.636363636;0.930886134;0.599527786
2007-12-02_01-43-18/ to 2008-01-02_19-55-04/;0.760261686;0.767436953;0.934604754;0.602119034
2008-01-02_19-55-04/ to 2008-02-01_01-41-57/;0.788406107;0.798256675;0.942025147;0.608320643
2008-02-01_01-41-57/ to 2008-03-01_09-35-39/;0.645666339;0.66281714;0.860748324;0.539105424
2008-03-01_09-35-39/ to 2008-04-01_14-47-57/;0.721124656;0.580502099;0.905737705;0.578215126
2008-04-01_14-47-57/ to 2008-05-02_09-19-29/;0.688436641;0.80612456;0.935808381;0.595779349
2008-05-02_09-19-29/ to 2008-06-01_10-10-22/;0.733214009;0.733891254;0.941446657;0.605964269
2008-06-01_10-10-22/ to 2008-07-01_01-57-36/;0.631080901;0.686976321;0.884050684;0.558735451
2008-07-01_01-57-36/ to 2008-08-01_02-15-05/;0.73045248;0.733318345;0.763099324;0.491751697
2008-08-01_02-15-05/ to 2008-09-01_15-23-04/;0.750178253;0.75861919;0.874012743;0.561827769
2008-09-01_15-23-04/ to 2008-10-02_13-30-31/;0.649628985;0.616993464;0.936411533;0.596273967
2008-10-02_13-30-31/ to 2008-11-01_00-10-51/;0.777159042;0.763477509;0.838654158;0.531821091
2008-11-01_00-10-51/ to 2008-12-01_12-36-41/;0.734656711;0.693088691;0.849115509;0.538649353
2008-12-01_12-36-41/ to 2009-01-01_17-52-09/;1;1;1;0.613610335
2009-01-01_17-52-09/ to 2009-02-01_00-40-45/;0.872684761;0.748752237;0.774506656;0.497543313
2009-02-01_00-40-45/ to 2009-03-01_04-50-18/;0.743500557;0.721382386;0.835603274;0.530600617
2009-03-01_04-50-18/ to 2009-04-01_11-24-04/;0.770650585;0.808897569;0.857707208;0.548578961
2009-04-01_11-24-04/ to 2009-05-01_03-00-04/;0.6866179;0.630887185;0.916378052;0.578717244
2009-05-01_03-00-04/ to 2009-06-01_11-26-30/;0.769138984;0.717165368;0.901100959;0.573899448
2009-06-01_11-26-30/ to 2009-07-02_12-04-50/;0.750115303;0.579017658;0.910350712;0.580133324
2009-07-02_12-04-50/ to 2009-08-01_06-53-03/;0.757073262;0.754842532;0.938656181;0.59574432
2009-08-01_06-53-03/ to 2009-09-02_11-49-25/;0.705934299;0.720427852;0.852952221;0.548134388
2009-09-02_11-49-25/ to 2009-10-02_01-10-32/;0.778021978;0.858862876;0.877874289;0.555797502
2009-10-02_01-10-32/ to 2009-11-01_04-01-30/;0.858707709;0.844402187;0.955792479;0.606682386
2009-11-01_04-01-30/ to 2009-12-01_02-32-01/;0.733066604;0.735539081;0.913434869;0.58230574
2009-12-01_02-32-01/ to 2010-01-01_16-45-43/;0.763547918;0.784188034;0.905956634;0.571202152
2010-01-01_16-45-43/ to 2010-02-01_04-55-30/;0.620042872;0.66292943;0.955873526;0.538837801
2010-02-01_04-55-30/ to 2010-03-02_15-02-45/;0.827271005;0.773617821;0.915221922;0.582250605
2010-03-02_15-02-45/ to 2010-04-01_15-09-44/;0.658331899;0.748186483;0.933775853;0.5918593
2010-04-01_15-09-44/ to 2010-05-02_14-17-07/;0.768086884;0.730802231;0.881082892;0.560042328
