2007-05-20_17-12-43/ to 2007-06-01_14-40-03/;NaN
2007-06-01_14-40-03/ to 2007-07-01_14-53-06/;NaN
2007-07-01_14-53-06/ to 2007-08-01_23-30-54/;NaN
2007-08-01_23-30-54/ to 2007-09-02_14-51-54/;NaN
2007-09-02_14-51-54/ to 2007-10-01_09-59-01/;NaN
2007-10-01_09-59-01/ to 2007-11-02_23-31-10/;NaN
2007-11-02_23-31-10/ to 2007-12-02_01-43-18/;NaN
2007-12-02_01-43-18/ to 2008-01-02_19-55-04/;NaN
2008-01-02_19-55-04/ to 2008-02-01_01-41-57/;NaN
2008-02-01_01-41-57/ to 2008-03-01_09-35-39/;NaN
2008-03-01_09-35-39/ to 2008-04-01_14-47-57/;NaN
2008-04-01_14-47-57/ to 2008-05-02_09-19-29/;NaN
2008-05-02_09-19-29/ to 2008-06-01_10-10-22/;NaN
2008-06-01_10-10-22/ to 2008-07-01_01-57-36/;NaN
2008-07-01_01-57-36/ to 2008-08-01_02-15-05/;NaN
2008-08-01_02-15-05/ to 2008-09-01_15-23-04/;NaN
2008-09-01_15-23-04/ to 2008-10-02_13-30-31/;NaN
2008-10-02_13-30-31/ to 2008-11-01_00-10-51/;NaN
2008-11-01_00-10-51/ to 2008-12-01_12-36-41/;NaN
2008-12-01_12-36-41/ to 2009-01-01_17-52-09/;NaN
2009-01-01_17-52-09/ to 2009-02-01_00-40-45/;NaN
2009-02-01_00-40-45/ to 2009-03-01_04-50-18/;NaN
2009-03-01_04-50-18/ to 2009-04-01_11-24-04/;NaN
2009-04-01_11-24-04/ to 2009-05-01_03-00-04/;NaN
2009-05-01_03-00-04/ to 2009-06-01_11-26-30/;NaN
2009-06-01_11-26-30/ to 2009-07-02_12-04-50/;NaN
2009-07-02_12-04-50/ to 2009-08-01_06-53-03/;NaN
2009-08-01_06-53-03/ to 2009-09-02_11-49-25/;NaN
2009-09-02_11-49-25/ to 2009-10-02_01-10-32/;NaN
2009-10-02_01-10-32/ to 2009-11-01_04-01-30/;NaN
2009-11-01_04-01-30/ to 2009-12-01_02-32-01/;NaN
2009-12-01_02-32-01/ to 2010-01-01_16-45-43/;NaN
2010-01-01_16-45-43/ to 2010-02-01_04-55-30/;NaN
2010-02-01_04-55-30/ to 2010-03-02_15-02-45/;NaN
2010-03-02_15-02-45/ to 2010-04-01_15-09-44/;NaN
2010-04-01_15-09-44/ to 2010-05-02_14-17-07/;NaN
